what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1279830007957
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1279830008008
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1279830008313
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1279830008404
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1279830008429
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1279830008450
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1279830008504
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1279830021404
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1279830026965
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1279830027037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830049358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830052125
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830069126
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830073530
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1279830073564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1279830073564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830131252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830137322
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1279830137366
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1279830147119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830147144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830147228
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830152484
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1279830152504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1279830152504
activated,perspective,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui.repository.RepositoryPerspective",1279830155688
activated,view,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui.repository.RepositoriesView",1279830155696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830192578
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830194848
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830195163
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830195353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830197613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830199006
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279830199088
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1279830199454
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1279830199454
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1279830199455
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1279830199455
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1279830199456
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1279830199456
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1279830199457
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1279830199458
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1279830199470
