what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1281680838623
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1281680838625
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1281680838627
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1281680838628
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1281680838629
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1281680838630
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1281680838632
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1281680838633
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1281680838636
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1281680838637
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1281680838638
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1281680838641
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1281680838644
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1281680838647
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1281680838649
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1281680838651
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1281680838651
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1281680838654
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1281680838656
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1281680838657
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1281680838658
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1281680838659
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1281680838661
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1281680838662
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1281680838665
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1281680838666
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100512-1900,"org.eclipse.team.svn.core",1281680838667
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20100512-1900,"org.eclipse.team.svn.revision.graph",1281680838669
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1281680838673
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1281680838674
os,sysinfo,,,"macosx",1281680838677
arch,sysinfo,,,"x86",1281680838677
ws,sysinfo,,,"cocoa",1281680838677
locale,sysinfo,,,"de_DE",1281680838677
processors,sysinfo,,,"2",1281680838677
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1281680838677
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1281680838677
java.specification.name,sysinfo,,,"Java Platform API Specification",1281680838677
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281680838677
java.specification.version,sysinfo,,,"1.6",1281680838677
java.vendor,sysinfo,,,"Apple Inc.",1281680838677
java.version,sysinfo,,,"1.6.0_20",1281680838677
java.vm.info,sysinfo,,,"mixed mode",1281680838677
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1281680838677
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1281680838677
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1281680838677
java.vm.specification.version,sysinfo,,,"1.0",1281680838677
java.vm.vendor,sysinfo,,,"Apple Inc.",1281680838677
java.vm.version,sysinfo,,,"16.3-b01-279",1281680838677
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1281680839689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281680840090
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1281680846919
